Date,Company_name,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades
02-04-2018,HDFC,EQ,1890.5,1935.75,1890.5,1886.1,1931.9,1931.2,1917.34,2015,1425.05,1149092,2203201440,37803
03-04-2018,HDFC,EQ,1923.95,1925.7,1911,1931.2,1913,1915.9,1917.02,2015,1425.05,1019971,1955306115,48938
04-04-2018,HDFC,EQ,1912.95,1924.95,1878.45,1915.9,1883.1,1883.25,1903.29,2015,1425.05,928527,1767257058,34499
05-04-2018,HDFC,EQ,1901.3,1914,1890.2,1883.25,1913.1,1908.9,1900.56,2015,1425.05,1214723,2308652575,61633
06-04-2018,HDFC,EQ,1912.2,1926.45,1905.8,1908.9,1920.1,1923.4,1917.27,2015,1425.05,930002,1783068526,24914
09-04-2018,HDFC,EQ,1918.8,1942,1916.4,1923.4,1937,1939.05,1936.3,2015,1428.25,1000884,1938008165,32002
10-04-2018,HDFC,EQ,1943,1943,1913.5,1939.05,1921.2,1920.85,1920.94,2015,1428.25,1516809,2913693991,55147
11-04-2018,HDFC,EQ,1915.9,1920,1905.4,1920.85,1918,1918.85,1913.82,2015,1428.25,717703,1373553936,64684
12-04-2018,HDFC,EQ,1916,1932.9,1905.9,1918.85,1925,1928.8,1920.27,2015,1428.25,1178129,2262325817,26955
13-04-2018,HDFC,EQ,1928,1940,1919.1,1928.8,1930,1925,1928.02,2015,1428.25,824293,1589255011,26003
16-04-2018,HDFC,EQ,1920,1950,1919.85,1925,1943.5,1942.1,1938.89,2015,1428.25,711936,1380367127,21855
17-04-2018,HDFC,EQ,1943.5,1951,1934.1,1942.1,1950,1948.5,1944.42,2015,1428.25,666958,1296845993,21401
18-04-2018,HDFC,EQ,1951,1953.5,1930.05,1948.5,1934,1932.6,1942.91,2015,1428.25,678180,1317640649,21302
19-04-2018,HDFC,EQ,1940,1944.8,1933,1932.6,1939,1939,1938.07,2015,1428.25,792258,1535448278,36850
20-04-2018,HDFC,EQ,1941,1961,1932.15,1939,1959.7,1955.9,1945.78,2015,1428.25,2340345,4553789223,70006
23-04-2018,HDFC,EQ,1979,1979,1860.3,1955.9,1939.5,1935.75,1947.51,2015,1468.45,3826155,7451481658,76106
24-04-2018,HDFC,EQ,1935,1948.05,1926,1935.75,1934.1,1935,1935.57,2015,1468.45,1259354,2437572243,33400
25-04-2018,HDFC,EQ,1927.9,1938,1912,1935,1920,1920.75,1924.27,2015,1468.45,1005148,1934175516,42185
