Date,Company_name,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades
02-04-2018,Hindstan Unilever,EQ,1315,1360.55,1315,1333.35,1357,1351.3,1337.86,1410,898.55,708747,948200869.1,42754
03-04-2018,Hindstan Unilever,EQ,1347.1,1355.5,1338.65,1351.3,1348,1348.4,1344.06,1410,898.55,979726,1316807744,53886
04-04-2018,Hindstan Unilever,EQ,1348,1360,1339.55,1348.4,1358,1357.45,1352.9,1410,898.55,912607,1234666527,61354
05-04-2018,Hindstan Unilever,EQ,1380,1383.8,1362.7,1357.45,1382.95,1382.2,1375.38,1410,898.55,588716,809709192.2,21116
06-04-2018,Hindstan Unilever,EQ,1381.95,1381.95,1362.45,1382.2,1375,1374.8,1371.58,1410,898.55,633937,869493671.7,24800
09-04-2018,Hindstan Unilever,EQ,1367.95,1396.4,1367.5,1374.8,1395.5,1391.6,1387.27,1410,898.55,923543,1281205841,45419
10-04-2018,Hindstan Unilever,EQ,1398.8,1402.8,1387,1391.6,1390.25,1391.5,1392.16,1410,898.55,969036,1349050650,34357
11-04-2018,Hindstan Unilever,EQ,1393,1420.5,1385.55,1391.5,1406,1409.15,1406.67,1420.5,898.55,1015714,1428771072,32889
12-04-2018,Hindstan Unilever,EQ,1408,1416,1397.1,1409.15,1412,1412.75,1406.2,1420.5,898.55,510556,717942270.9,25054
13-04-2018,Hindstan Unilever,EQ,1412,1413.85,1399.2,1412.75,1411.9,1410.55,1406.09,1420.5,898.55,534981,752229295.8,24995
16-04-2018,Hindstan Unilever,EQ,1408.9,1423.2,1404.85,1410.55,1419.05,1419.5,1414.59,1423.2,898.55,325041,459799977.1,16700
17-04-2018,Hindstan Unilever,EQ,1420.5,1450.5,1419.8,1419.5,1450.5,1445.55,1438.77,1450.5,898.55,1176082,1692114288,56561
18-04-2018,Hindstan Unilever,EQ,1450.5,1456.15,1440,1445.55,1450,1450.5,1449.94,1456.15,898.55,765225,1109529064,36806
19-04-2018,Hindstan Unilever,EQ,1451.4,1467.9,1448.35,1450.5,1455.5,1454.2,1454.72,1467.9,898.55,682820,993309785.4,29280
20-04-2018,Hindstan Unilever,EQ,1442,1472.15,1441.2,1454.2,1472.15,1467.8,1455.55,1472.15,898.55,674146,981251051.4,30418
23-04-2018,Hindstan Unilever,EQ,1471,1471,1450,1467.8,1452.8,1452.75,1455.1,1472.15,898.55,395622,575670581.2,30417
24-04-2018,Hindstan Unilever,EQ,1464,1469.75,1445.7,1452.75,1458.3,1459.65,1454.35,1472.15,898.55,1218174,1771651520,33812
25-04-2018,Hindstan Unilever,EQ,1459,1463,1449.05,1459.65,1463,1459.2,1454.79,1472.15,898.55,504777,734343158,18593
26-04-2018,Hindstan Unilever,EQ,1463,1498.6,1459.85,1459.2,1488.15,1491.25,1479.86,1498.6,898.55,1321586,1955766207,47695
27-04-2018,Hindstan Unilever,EQ,1491.25,1497.5,1469.9,1491.25,1476.95,1473.95,1479.83,1498.6,898.55,818770,1211639258,40416
30-04-2018,Hindstan Unilever,EQ,1475,1513.55,1474.55,1473.95,1502,1508.9,1500.69,1513.55,922.6,612159,918659404.7,34625
02-05-2018,Hindstan Unilever,EQ,1512,1514,1464.65,1508.9,1471,1471.95,1482.49,1514,922.6,1047583,1553030023,48062
03-05-2018,Hindstan Unilever,EQ,1465.6,1468.95,1441.6,1471.95,1449,1452.2,1451.68,1514,922.6,1243694,1805445602,42105
