Date,Company_name,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades
02-04-2018,ITC Limited,EQ,257,258.95,255.45,255.5,258.8,258.25,256.75,367.7,250,7029064,1804685060,85556
03-04-2018,ITC Limited,EQ,258,260,257.5,258.25,259.15,258.5,258.63,367.7,250,5098212,1318555195,48970
04-04-2018,ITC Limited,EQ,259.5,259.8,257.1,258.5,259.05,258.6,258.54,367.7,250,8392947,2169907682,77397
05-04-2018,ITC Limited,EQ,255.5,260,255.5,258.6,259.8,259.65,258.65,367.7,250,9113610,2357197516,99052
06-04-2018,ITC Limited,EQ,260.5,262,260.05,259.65,261,260.85,261.06,367.7,250,6098959,1592218442,51328
09-04-2018,ITC Limited,EQ,261.15,266.6,260.9,260.85,265.7,265.8,264.65,367.7,250,9217475,2439369320,65447
10-04-2018,ITC Limited,EQ,266.35,268.7,265.1,265.8,266.55,266.7,266.64,367.7,250,14682547,3914986494,104111
11-04-2018,ITC Limited,EQ,266.9,267.55,263.4,266.7,265.3,265.15,264.95,367.7,250,5232228,1386296172,57667
12-04-2018,ITC Limited,EQ,265.1,265.15,261.4,265.15,262.15,261.95,262.57,367.7,250,6125006,1608254078,61995
13-04-2018,ITC Limited,EQ,263,263.5,260,261.95,260.5,260.75,261.59,367.7,250,4991314,1305660006,42992
16-04-2018,ITC Limited,EQ,260.5,264.9,260,260.75,264.35,264.45,263.6,367.7,250,5212182,1373910540,110574
17-04-2018,ITC Limited,EQ,265.4,268.4,262.7,264.45,267,267.6,265.28,367.7,250,13207767,3503727423,83815
18-04-2018,ITC Limited,EQ,268.7,278.9,268,267.6,276.5,275.35,275.48,367.7,250,23815794,6560787577,157457
19-04-2018,ITC Limited,EQ,277.25,280,275.25,275.35,277,277.35,277.18,367.7,250,12823460,3554398832,96479
20-04-2018,ITC Limited,EQ,276,279.25,273.5,277.35,275.75,276.2,276.21,367.7,250,10790554,2980473404,63069
23-04-2018,ITC Limited,EQ,276,277.2,275,276.2,275.45,275.5,275.87,367.7,250,11746220,3240374914,62425
24-04-2018,ITC Limited,EQ,276,278.85,274.65,275.5,275.5,276,276.77,367.7,250,8449353,2338520425,98712
25-04-2018,ITC Limited,EQ,275.5,276.3,272.7,276,273.9,274.1,274.5,367.7,250,4928817,1352940983,54260
26-04-2018,ITC Limited,EQ,274.55,279.1,273,274.1,278.75,278.25,277.35,367.7,250,20282977,5625453401,83108
27-04-2018,ITC Limited,EQ,279.6,280.95,278.4,278.25,279.7,279.4,279.6,367.7,250,9732842,2721312114,66638
30-04-2018,ITC Limited,EQ,279.6,283.85,279.6,279.4,282.25,281.45,282.15,367.7,250,5918966,1670011564,60650
02-05-2018,ITC Limited,EQ,282.1,288.7,280.25,281.45,286.6,287.25,286.01,367.7,250,16071685,4596679160,123736
03-05-2018,ITC Limited,EQ,287.5,289.7,283.05,287.25,284.3,285,285.64,367.7,250,9366444,2675443139,105773
04-05-2018,ITC Limited,EQ,287,287,275.85,285,276.85,277.15,279.28,367.7,250,10904195,3045326299,84011
07-05-2018,ITC Limited,EQ,278.3,283.4,276.9,277.15,282.5,282.25,280.63,367.7,250,6475767,1817302907,68143
08-05-2018,ITC Limited,EQ,283.15,285.95,282,282.25,282.7,282.7,283.51,367.7,250,6588906,1868021838,51445
09-05-2018,ITC Limited,EQ,281.5,284,281.5,282.7,282.35,282.3,282.95,367.7,250,4214376,1192478708,46450
10-05-2018,ITC Limited,EQ,282.95,283.95,277.3,282.3,282,280.15,279.73,367.7,250,5672203,1586690352,62839
11-05-2018,ITC Limited,EQ,281.9,284,279.75,280.15,283,283.65,281.68,367.7,250,3892106,1096317364,30833
14-05-2018,ITC Limited,EQ,283,287.3,282,283.65,283.2,284.8,285.56,367.7,250,6479302,1850239955,68532
