Date,Company_name,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades
02-04-2018,State Bank of India,EQ,251.8,252,244.9,249.9,246,246.15,247.21,351.3,232.35,14993188,3706522223,107701
03-04-2018,State Bank of India,EQ,249.55,252.8,248.25,246.15,250.95,250.5,250.35,351.3,232.35,19883309,4977777337,113047
04-04-2018,State Bank of India,EQ,251.7,253,245.5,250.5,246.7,247.3,249.33,351.3,232.35,18824449,4693472178,109181
05-04-2018,State Bank of India,EQ,252.6,261.9,250,247.3,260.8,259.3,255,351.3,232.35,22880821,5834535910,154532
06-04-2018,State Bank of India,EQ,259.65,261.45,254.85,259.3,258.75,259.7,258.38,351.3,232.35,24868860,6425622725,187342
09-04-2018,State Bank of India,EQ,260.65,262.75,257.6,259.7,259.85,260.65,260.74,351.3,232.35,20208874,5269269034,122085
10-04-2018,State Bank of India,EQ,261.1,265,258.5,260.65,263.15,263.3,261.62,351.3,232.35,21201141,5546737417,128190
11-04-2018,State Bank of India,EQ,263,263,256.3,263.3,257.4,257.05,258.33,351.3,232.35,14885838,3845480566,99011
12-04-2018,State Bank of India,EQ,257.5,257.5,252.25,257.05,253.9,253.8,254.2,351.3,232.35,18660913,4743665845,102493
13-04-2018,State Bank of India,EQ,254,255.95,249.7,253.8,250.8,250.95,252.57,351.3,232.35,25654020,6479417245,123494
16-04-2018,State Bank of India,EQ,249.35,251.3,247.1,250.95,249,249,249.11,351.3,232.35,16408377,4087502697,91738
17-04-2018,State Bank of India,EQ,251.4,252.5,246.6,249,248.15,248.15,249.5,351.3,232.35,15922452,3972609555,101479
18-04-2018,State Bank of India,EQ,249.5,249.9,245.3,248.15,247,246.45,247.67,351.3,232.35,16142387,3997987082,137163
19-04-2018,State Bank of India,EQ,247.1,248.45,245.2,246.45,246.7,246.15,246.67,351.3,232.35,13166927,3247907090,79014
20-04-2018,State Bank of India,EQ,245.85,245.85,239.5,246.15,241.85,241.2,241.56,351.3,232.35,15546939,3755498695,115151
23-04-2018,State Bank of India,EQ,241.9,244.85,239.3,241.2,242.4,242.45,242.55,351.3,232.35,12111837,2937773832,75286
24-04-2018,State Bank of India,EQ,242,243.4,239.6,242.45,240.7,240.6,241.32,351.3,232.35,9486349,2289252618,69116
25-04-2018,State Bank of India,EQ,239.7,240.75,236.75,240.6,237.5,237.2,238.78,351.3,232.35,13124853,3134016873,83988
26-04-2018,State Bank of India,EQ,238.4,238.8,232.5,237.2,233.25,233.2,234.73,351.3,232.35,24495144,5749736202,151982
27-04-2018,State Bank of India,EQ,233.25,245.8,233.25,233.2,243.2,242.6,242.46,351.3,232.35,31401889,7613775144,203123
30-04-2018,State Bank of India,EQ,244.8,249.7,244.5,242.6,246.05,246.4,247.11,351.3,232.35,17263193,4265822592,102753
02-05-2018,State Bank of India,EQ,245.9,246.3,239.75,246.4,241.2,241,242.08,351.3,232.35,12887066,3119704302,96574
03-05-2018,State Bank of India,EQ,240.95,243.4,238.75,241,241.6,241.9,241.21,351.3,232.35,12939642,3121136581,82594
04-05-2018,State Bank of India,EQ,243.5,243.9,240.35,241.9,241.75,241.95,242.15,351.3,232.35,12777310,3094082510,69129
07-05-2018,State Bank of India,EQ,242.45,248.2,242.05,241.95,247.2,246.5,245.59,351.3,232.35,15122614,3713934996,93517
08-05-2018,State Bank of India,EQ,248,252.6,244.6,246.5,250.3,250.05,249.25,351.3,232.35,23293920,5806000776,138529
09-05-2018,State Bank of India,EQ,249.8,249.8,246.3,250.05,248.1,248,247.83,351.3,232.35,11429823,2832630206,66742
10-05-2018,State Bank of India,EQ,248.25,250.2,246.3,248,247.1,247.95,247.98,351.3,232.35,13160967,3263722258,72818
11-05-2018,State Bank of India,EQ,247.6,251.6,246.05,247.95,250.8,250.35,248.66,351.3,232.35,11958589,2973624794,64606
14-05-2018,State Bank of India,EQ,249.95,255.8,248.15,250.35,252.4,253.6,253.57,351.3,232.35,18673849,4735131637,97405
15-05-2018,State Bank of India,EQ,253,257.45,245.9,253.6,246.55,248,252.61,351.3,232.35,18026861,4553828069,114730
16-05-2018,State Bank of India,EQ,245.5,248.7,240.6,248,242.9,243.1,244.2,351.3,232.35,17222004,4205592220,103543
17-05-2018,State Bank of India,EQ,244.2,246,241.15,243.1,242.55,242.7,244.1,351.3,232.35,11721064,2861108093,73063
18-05-2018,State Bank of India,EQ,243,244,237.85,242.7,239.6,238.85,240.29,351.3,232.35,11873041,2852923902,110146
21-05-2018,State Bank of India,EQ,243.55,245.75,240.3,238.85,244.5,244.45,243.18,351.3,232.35,18780730,4567025698,112369
22-05-2018,State Bank of India,EQ,243.65,259.7,241,244.45,255.7,253.9,250.57,351.3,232.35,68713602,17217750570,363023
23-05-2018,State Bank of India,EQ,254.65,269.75,254.3,253.9,263.45,263.2,265.25,351.3,232.35,71202072,18886291768,422897
24-05-2018,State Bank of India,EQ,263.85,269.7,260.65,263.2,268.8,268.5,266.17,351.3,232.35,34679642,9230555943,184520
25-05-2018,State Bank of India,EQ,267.8,268.4,262.55,268.5,267,266.95,265.26,351.3,232.35,22317308,5919849331,135789
28-05-2018,State Bank of India,EQ,267.4,274.2,266.05,266.95,271.95,272.05,270.84,351.3,232.35,18959368,5134879730,134180
29-05-2018,State Bank of India,EQ,270.5,270.95,262.8,272.05,263.65,264.3,266.1,351.3,232.35,16107543,4286244459,115411
30-05-2018,State Bank of India,EQ,260.5,268,259.95,264.3,266.95,267.15,264.32,351.3,232.35,19320209,5106785147,108400
31-05-2018,State Bank of India,EQ,266.85,274.8,263.15,267.15,270,269.55,267.78,351.3,232.35,31935892,8551910934,152047
01-06-2018,State Bank of India,EQ,269.25,269.8,264.6,269.55,267,266.7,266.65,351.3,232.35,16574717,4419690026,130807
04-06-2018,State Bank of India,EQ,268,268.35,261.3,266.7,263.2,263,264.38,351.3,232.35,12933824,3419501659,88328
05-06-2018,State Bank of India,EQ,260.9,265.25,260.9,263,263.25,263.55,263.48,351.3,232.35,14102731,3715720448,121807
06-06-2018,State Bank of India,EQ,263,271.4,262.2,263.55,270.25,270.15,267.41,351.3,232.35,18315171,4897656563,138946
07-06-2018,State Bank of India,EQ,271.05,272.9,268.4,270.15,269.55,269.65,270.87,351.3,232.35,18773700,5085315658,116128
08-06-2018,State Bank of India,EQ,268.95,273.9,267,269.65,273,273,270.5,351.3,232.35,14096549,3813112967,93897
11-06-2018,State Bank of India,EQ,273.3,278.4,273.15,273,273.6,274,276.37,351.3,232.35,18219428,5035305157,141047
12-06-2018,State Bank of India,EQ,274,284.4,274,274,284,282.85,279.19,351.3,232.35,31358021,8754912652,214059
13-06-2018,State Bank of India,EQ,284,289.65,283.65,282.85,287.3,287.7,287.25,351.3,232.35,26748300,7683432202,252647
14-06-2018,State Bank of India,EQ,286.55,286.55,281.3,287.7,282.85,282.6,282.97,351.3,232.35,18513730,5238798930,123178
15-06-2018,State Bank of India,EQ,282.75,283.45,276.6,282.6,277.85,277.45,279.23,351.3,232.35,16949917,4732905446,116041
18-06-2018,State Bank of India,EQ,278,279.75,275.45,277.45,276.6,276.85,277.04,351.3,232.35,13542420,3751802372,113699
19-06-2018,State Bank of India,EQ,276,276.7,269.75,276.85,272.5,272.6,273.05,351.3,232.35,20726975,5659492919,112990
20-06-2018,State Bank of India,EQ,273.2,274.75,271.1,272.6,273.2,273.3,273,351.3,232.35,14002946,3822759465,99962
21-06-2018,State Bank of India,EQ,274.75,274.75,268.1,273.3,268.8,268.65,270.59,351.3,232.35,12954943,3505449721,118737
22-06-2018,State Bank of India,EQ,269,273.7,265.75,268.65,273,273.05,270.13,351.3,232.35,20784133,5614420823,189076
25-06-2018,State Bank of India,EQ,271.85,273.15,267.2,273.05,268.5,268.45,270.3,351.3,232.35,10934401,2955598080,90277
26-06-2018,State Bank of India,EQ,267.25,271.2,265.4,268.45,267,267.4,268.27,351.3,232.35,16867009,4524935020,105136
27-06-2018,State Bank of India,EQ,267.35,267.35,261,267.4,261.05,261.7,263.58,351.3,232.35,16277655,4290453842,96681
28-06-2018,State Bank of India,EQ,260.4,262,255.7,261.7,257.6,257,258.17,351.3,232.35,21349738,5511935976,123640
29-06-2018,State Bank of India,EQ,258.25,263.45,258.2,257,259.2,259.35,260.91,351.3,232.35,16244724,4238478682,158728
02-07-2018,State Bank of India,EQ,258.95,261.75,254,259.35,260,258.85,257.62,351.3,232.35,21896701,5641044088,125980
03-07-2018,State Bank of India,EQ,259.6,260.9,256.4,258.85,258,257.5,258.07,351.3,232.35,16099030,4154623857,92458
04-07-2018,State Bank of India,EQ,255.75,258.35,254.5,257.5,257.4,257.45,256.66,351.3,232.35,14206935,3646328371,100359
05-07-2018,State Bank of India,EQ,257.9,258.7,255.15,257.45,256.6,256.45,256.98,351.3,232.35,11215032,2882060428,80185
06-07-2018,State Bank of India,EQ,256.1,260.8,255.55,256.45,256.55,257.2,258.29,351.3,232.35,16174019,4177593668,129539
09-07-2018,State Bank of India,EQ,258.2,262.4,257.95,257.2,261.35,261.55,260.67,351.3,232.35,13220744,3446188707,108471
10-07-2018,State Bank of India,EQ,263.85,265.75,262.4,261.55,263.2,263.75,264.4,351.3,232.35,11487165,3037245609,97898
11-07-2018,State Bank of India,EQ,262.65,262.65,257.9,263.75,259.05,259.1,259.68,351.3,232.35,12857179,3338775885,82878
12-07-2018,State Bank of India,EQ,261.4,264.5,261.15,259.1,262,262.75,263.07,351.3,232.35,10642215,2799695907,89222
13-07-2018,State Bank of India,EQ,262.1,262.4,256.8,262.75,257.35,257.75,258.26,351.3,232.35,11976239,3093017367,86192
16-07-2018,State Bank of India,EQ,257,257.5,251,257.75,251.1,251.6,253.33,351.3,232.35,8965623,2271251195,69096
17-07-2018,State Bank of India,EQ,250.7,259.85,250.45,251.6,258.95,259.05,254.84,351.3,232.35,16067598,4094594111,130839
18-07-2018,State Bank of India,EQ,260.1,262.5,256.15,259.05,260.5,259.55,259.11,351.3,232.35,17641125,4571016126,104122
19-07-2018,State Bank of India,EQ,259.4,263.5,256.2,259.55,260.3,260.2,260.67,351.3,232.35,9958284,2595782909,73048
20-07-2018,State Bank of India,EQ,259.9,263,258.55,260.2,262.7,261.5,261.28,351.3,232.35,6120163,1599087720,48921
23-07-2018,State Bank of India,EQ,262,267.5,260.6,261.5,266.6,266.35,263.69,351.3,232.35,17013119,4486111462,90699
24-07-2018,State Bank of India,EQ,267.2,269.2,265.55,266.35,266.65,266.85,267.44,351.3,232.35,9320281,2492636063,90287
25-07-2018,State Bank of India,EQ,268,272.85,265.65,266.85,271.35,271.85,269.11,351.3,232.35,13099277,3525203615,102919
26-07-2018,State Bank of India,EQ,275.1,289.4,274.2,271.85,289.25,287.7,283.14,351.3,232.35,53496546,15147160237,310433
27-07-2018,State Bank of India,EQ,289.5,297,285.1,287.7,286.55,286.75,290.46,351.3,232.35,32175436,9345552307,220319
30-07-2018,State Bank of India,EQ,289.2,299.55,289.2,286.75,296.5,297.4,296.67,351.3,232.35,40949610,12148359328,268957
31-07-2018,State Bank of India,EQ,297,302.4,291.8,297.4,293.6,293.5,296.17,351.3,232.35,36510328,10813312086,254603
01-08-2018,State Bank of India,EQ,294.5,298,288.35,293.5,294.3,295.1,292.95,351.3,232.35,33885474,9926744009,181159
02-08-2018,State Bank of India,EQ,293,296.4,290.55,295.1,294,293.9,294.02,351.3,232.35,15665209,4605847684,104001
03-08-2018,State Bank of India,EQ,294.6,299.95,294.5,293.9,299.9,299.25,297.3,351.3,232.35,18254462,5427128723,114223
06-08-2018,State Bank of India,EQ,300.6,311.35,300.6,299.25,308.9,308.5,307.52,351.3,232.35,31576923,9710678524,204045
07-08-2018,State Bank of India,EQ,309.85,311.7,303.05,308.5,303.9,304.05,306.47,351.3,232.35,23929123,7333537261,128953
08-08-2018,State Bank of India,EQ,304.05,310.9,303.05,304.05,309.85,308.7,306.82,351.3,232.35,20498279,6289345453,117900
09-08-2018,State Bank of India,EQ,312.95,319.85,310.15,308.7,317.65,317.4,316.25,351.3,232.35,46464355,14694257497,243879
10-08-2018,State Bank of India,EQ,317.65,326.4,300.5,317.4,302.7,304.45,313.3,351.3,232.35,111510771,34935877724,565857
13-08-2018,State Bank of India,EQ,296,302.8,291.1,304.45,296.7,294.15,295.95,351.3,232.35,58127432,17203092198,256293
14-08-2018,State Bank of India,EQ,296.7,298.95,293.35,294.15,295,294.9,295.85,351.3,232.35,25294933,7483493517,156944
16-08-2018,State Bank of India,EQ,293.5,298.4,290.25,294.9,293,292.7,294.21,351.3,232.35,31083900,9145252871,150833
17-08-2018,State Bank of India,EQ,295,302.7,294.05,292.7,302.2,302.1,298.51,351.3,232.35,21931134,6546643267,157302
20-08-2018,State Bank of India,EQ,304.1,308.7,303.6,302.1,307.6,307.65,306.04,351.3,232.35,20240462,6194434181,188475
21-08-2018,State Bank of India,EQ,308.3,308.85,303.35,307.65,307.1,307,305.65,351.3,232.35,14139592,4321728675,115293
23-08-2018,State Bank of India,EQ,306.95,306.95,298.3,307,302.45,302.45,302.26,351.3,232.35,22721004,6867573579,163137
24-08-2018,State Bank of India,EQ,300.6,305.7,299,302.45,300.6,300.45,301.58,351.3,232.35,18869585,5690666055,167126
27-08-2018,State Bank of India,EQ,304,310.35,303.3,300.45,306.95,308,307.92,351.3,232.35,28111768,8656283075,178623
28-08-2018,State Bank of India,EQ,308.05,310.25,303.4,308,305.8,305.35,305.76,351.3,232.35,16890236,5164353821,125093
29-08-2018,State Bank of India,EQ,306.8,312,305.75,305.35,309.85,309.7,309.64,351.3,232.35,24320824,7530680131,168632
30-08-2018,State Bank of India,EQ,309.3,310.5,306,309.7,308.9,308.6,307.95,351.3,232.35,19935935,6139213577,112027
31-08-2018,State Bank of India,EQ,307.9,310.65,304.55,308.6,310.3,309.6,307.85,351.3,232.35,18100140,5572062957,105308
03-09-2018,State Bank of India,EQ,312.5,312.5,304.8,309.6,305.65,306.35,310.1,351.3,232.35,14708076,4560944744,94708
04-09-2018,State Bank of India,EQ,306.8,307.45,295.45,306.35,296.25,296.4,303.13,351.3,232.35,42859084,12991766170,149148
05-09-2018,State Bank of India,EQ,296.5,298.85,290.4,296.4,296.9,296.55,295.18,351.3,232.35,22922686,6766403146,148306
06-09-2018,State Bank of India,EQ,298,299.85,294.5,296.55,294.9,296.45,297.34,351.3,232.35,18001336,5352603390,111206
07-09-2018,State Bank of India,EQ,295.9,295.9,289.45,296.45,291.1,291.65,291.75,351.3,232.35,23716678,6919285169,150105
10-09-2018,State Bank of India,EQ,290.65,293.25,283.8,291.65,284.5,284.85,287.9,351.3,232.35,23354395,6723742578,146448
11-09-2018,State Bank of India,EQ,287.35,291.45,281.65,284.85,282,282.6,287.14,351.3,232.35,28361400,8143774016,164245
12-09-2018,State Bank of India,EQ,284,286.7,280,282.6,285.85,285.3,283.62,351.3,232.35,22717796,6443164747,147354
14-09-2018,State Bank of India,EQ,290.1,291.8,288.7,285.3,290.65,290.65,290.29,351.3,232.35,15149585,4397839262,101589
17-09-2018,State Bank of India,EQ,288.5,288.5,284.1,290.65,285.1,285.3,285.73,351.3,232.35,16089996,4597425846,97436
18-09-2018,State Bank of India,EQ,285,286.9,272.4,285.3,273.6,273.8,277.31,351.3,232.35,33901000,9401220053,177012
19-09-2018,State Bank of India,EQ,275.4,282.85,270.5,273.8,271.15,271.5,273.54,351.3,232.35,40759431,11149465641,219193
21-09-2018,State Bank of India,EQ,274.2,279.45,253.4,271.5,270.45,270.6,272.26,351.3,232.35,39308482,10701950601,218461
24-09-2018,State Bank of India,EQ,272.7,273,262.6,270.6,263.35,264.35,266.54,351.3,232.35,24633374,6565808187,124419
25-09-2018,State Bank of India,EQ,264,272.95,260.8,264.35,272.5,270.9,265.54,351.3,232.35,28948831,7687199315,182855
26-09-2018,State Bank of India,EQ,274,274,262.75,270.9,263,263.85,266.42,351.3,232.35,23951904,6381336197,155258
27-09-2018,State Bank of India,EQ,264.5,268.6,263.75,263.85,265.5,265.35,266.3,351.3,232.35,24829383,6612125475,124638
28-09-2018,State Bank of India,EQ,266.4,273.5,262.5,265.35,265.5,265.5,268.19,351.3,232.35,33803139,9065796801,183277
01-10-2018,State Bank of India,EQ,265.5,275.2,264.1,265.5,274.1,273.85,268.85,351.3,232.35,17711738,4761798327,138561
03-10-2018,State Bank of India,EQ,273.35,278.7,270.6,273.85,271.5,271.7,274.04,351.3,232.35,19714943,5402756515,123868
04-10-2018,State Bank of India,EQ,267.95,272.7,265.7,271.7,269.4,271.35,269.48,351.3,232.35,17754204,4784466877,104521
05-10-2018,State Bank of India,EQ,271,271,256,271.35,258.3,258.35,264.55,351.3,232.35,36628643,9690254318,210659
08-10-2018,State Bank of India,EQ,259.75,268.5,258.35,258.35,266,265.75,262.3,351.3,232.35,21100804,5534651742,146549
09-10-2018,State Bank of India,EQ,268,268.15,260,265.75,262.75,262.95,263.56,351.3,232.35,16010883,4219788575,117931
10-10-2018,State Bank of India,EQ,261.6,280.45,261.2,262.95,277.3,278.65,271.41,351.3,232.35,31772330,8623328612,174117
11-10-2018,State Bank of India,EQ,268,271.5,260.6,278.65,261.7,262.15,263.79,351.3,232.35,46291120,12211095759,263698
12-10-2018,State Bank of India,EQ,266,267.9,261.5,262.15,263.7,263.75,265.06,351.3,232.35,42967696,11389044524,197824
15-10-2018,State Bank of India,EQ,264.4,265.7,261.1,263.75,263.15,263.2,262.91,351.3,232.35,21965859,5775047466,137105
16-10-2018,State Bank of India,EQ,264.6,270.85,263.35,263.2,270.35,270.3,267.89,351.3,232.35,33597068,9000309796,158126
17-10-2018,State Bank of India,EQ,273.75,275,260,270.3,261,261.15,266.57,351.3,232.35,21631573,5766275183,173764
19-10-2018,State Bank of India,EQ,259.7,264.2,258.1,261.15,261.15,261.1,260.66,351.3,232.35,28474307,7422011214,198786
22-10-2018,State Bank of India,EQ,266,266,259.45,261.1,260,260.35,263.03,351.3,232.35,19933462,5243182229,139531
23-10-2018,State Bank of India,EQ,258,259,255,260.35,255.9,255.65,256.83,351.3,232.35,20206307,5189677167,129664
24-10-2018,State Bank of India,EQ,260.25,261.8,252.8,255.65,255.9,255.7,257.4,351.3,232.35,25636533,6598833672,128911
25-10-2018,State Bank of India,EQ,254.5,255,248.4,255.7,250.65,249.55,250.37,351.3,232.35,33066232,8278823316,206019
26-10-2018,State Bank of India,EQ,252,252.5,247.4,249.55,247.9,248.1,250.07,351.3,232.35,20543437,5137210164,126405
29-10-2018,State Bank of India,EQ,250,269.25,248.4,248.1,267.5,267.9,262.11,346.7,232.35,37768359,9899444883,235624
