Date,Company_name,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades
02-04-2018,Sun Pharma ,EQ,500.9,510,496.05,495.1,507.5,507.85,504.34,699.85,432.7,2924481,1474943076,53805
03-04-2018,Sun Pharma ,EQ,506,512.2,504.5,507.85,509.55,510,508.69,699.85,432.7,2709038,1378065913,36261
04-04-2018,Sun Pharma ,EQ,514.95,514.95,501,510,501.95,502.25,508.16,699.85,432.7,3120925,1585931607,43355
05-04-2018,Sun Pharma ,EQ,506,513,505.1,502.25,507.65,507.55,508.73,699.85,432.7,2409577,1225822344,37510
06-04-2018,Sun Pharma ,EQ,508,515.3,507,507.55,512.05,512.6,512.59,699.85,432.7,2772128,1420963738,44810
09-04-2018,Sun Pharma ,EQ,512,517.75,507.35,512.6,511.1,510.85,512.02,699.85,432.7,2395291,1226442235,49172
10-04-2018,Sun Pharma ,EQ,512.4,515.9,507.5,510.85,508.5,508.25,510.46,699.85,432.7,2645876,1350620637,52902
11-04-2018,Sun Pharma ,EQ,511,522.9,510.3,508.25,520,521.45,517.41,699.85,432.7,5693850,2946070528,66951
12-04-2018,Sun Pharma ,EQ,521.5,521.5,509.6,521.45,513.3,515.9,515.21,699.85,432.7,3619891,1864996537,50895
13-04-2018,Sun Pharma ,EQ,514.6,519.8,510.3,515.9,512.7,513,515.32,699.85,432.7,2130074,1097666317,38058
16-04-2018,Sun Pharma ,EQ,513,521,511.5,513,520.05,519.4,517.12,683,432.7,2687330,1389681472,64571
17-04-2018,Sun Pharma ,EQ,521.9,521.9,510.5,519.4,513,512.15,513.17,683,432.7,3104869,1593330045,70127
18-04-2018,Sun Pharma ,EQ,514.35,517.4,510.65,512.15,512.4,512,513.9,683,432.7,2412444,1239766628,52868
19-04-2018,Sun Pharma ,EQ,515,515,506.35,512,509.75,509.2,509.49,683,432.7,1936774,986763266.7,50189
20-04-2018,Sun Pharma ,EQ,509,509,502,509.2,505.45,505.3,504.1,683,432.7,4431085,2233703409,49200
23-04-2018,Sun Pharma ,EQ,505,515.5,505,505.3,515.3,514.25,512.12,656.95,432.7,2424057,1241411856,35519
24-04-2018,Sun Pharma ,EQ,515.9,523.5,512.5,514.25,517,517.8,519.63,656.95,432.7,3432552,1783640600,47462
25-04-2018,Sun Pharma ,EQ,514.5,521.45,511.2,517.8,514.4,514.05,516.75,656.95,432.7,2112975,1091884207,29258
26-04-2018,Sun Pharma ,EQ,514,522.7,511.3,514.05,515,512.6,515.75,656.95,432.7,3304748,1704429569,58203
27-04-2018,Sun Pharma ,EQ,517.5,526.4,515.25,512.6,525,524.15,521.36,656.95,432.7,3998704,2084773518,75434
30-04-2018,Sun Pharma ,EQ,528,530.95,525.1,524.15,528,528.4,527.96,656.95,432.7,1689385,891931942.8,30384
02-05-2018,Sun Pharma ,EQ,530,530.75,510.45,528.4,517,515.2,515.99,656.95,432.7,5805988,2995847726,43239
03-05-2018,Sun Pharma ,EQ,517,539.3,511.65,515.2,533.75,536,528.32,656.95,432.7,7457111,3939772493,79693
04-05-2018,Sun Pharma ,EQ,530,533,516.4,536,517.25,517.95,524.55,656.95,432.7,5429919,2848274775,77042
07-05-2018,Sun Pharma ,EQ,518,520,506.5,517.95,513,513.7,512.42,656.95,432.7,3837196,1966240132,59418
08-05-2018,Sun Pharma ,EQ,514,519.25,508.6,513.7,510.4,511.45,512.8,656.95,432.7,2519096,1291800650,55797
09-05-2018,Sun Pharma ,EQ,511.45,514.8,505.2,511.45,506.5,506.15,508.81,656.95,432.7,2477607,1260635539,55831
10-05-2018,Sun Pharma ,EQ,508,509.25,495.3,506.15,497.1,497.2,500.48,656.95,432.7,4218689,2111363269,77969
11-05-2018,Sun Pharma ,EQ,494,496.15,467.75,497.2,470.7,472.05,479.07,656.95,432.7,9906203,4745733189,139141
