Date,Company_name,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades
02-04-2018,TCS,EQ,2840,2914,2840,2849.15,2903,2909.65,2888.94,3259.05,2252.8,831494,2402139242,67851
03-04-2018,TCS,EQ,2892.1,2929.9,2892.1,2909.65,2908.4,2911.25,2907.92,3259.05,2252.8,968645,2816742761,49338
04-04-2018,TCS,EQ,2929.45,2934,2892,2911.25,2906.9,2910.9,2914.91,3259.05,2252.8,1420910,4141824123,73678
05-04-2018,TCS,EQ,2926.55,2963.75,2920.35,2910.9,2954.1,2957.95,2949.56,3259.05,2252.8,904712,2668499202,50519
06-04-2018,TCS,EQ,2954,2960,2926.55,2957.95,2939.7,2950.3,2943.69,3259.05,2252.8,564509,1661739852,35618
09-04-2018,TCS,EQ,2939.7,2963.5,2915,2950.3,2925.05,2923.9,2936.88,3259.05,2252.8,617933,1814796241,61304
10-04-2018,TCS,EQ,2925.7,2957.25,2925.7,2923.9,2933.4,2937.6,2943.58,3259.05,2252.8,592266,1743380857,56834
11-04-2018,TCS,EQ,2950.6,3025,2945.6,2937.6,3010,3014.15,2987.68,3259.05,2252.8,1562208,4667384474,79572
12-04-2018,TCS,EQ,3010,3150,3007.95,3014.15,3136,3139.25,3116.29,3259.05,2252.8,3057180,9527046571,138550
13-04-2018,TCS,EQ,3150,3240.8,3132.1,3139.25,3145.5,3153.3,3181.37,3259.05,2252.8,4089559,13010404291,147501
16-04-2018,TCS,EQ,3116,3199.95,3110.75,3153.3,3185.05,3187.65,3169.39,3259.05,2252.8,3135137,9936460533,142448
17-04-2018,TCS,EQ,3187.65,3194.95,3147.2,3187.65,3163.6,3166.6,3165.81,3259.05,2252.8,1650862,5226319906,119475
18-04-2018,TCS,EQ,3166,3193.45,3145.85,3166.6,3162.7,3159.1,3166.57,3259.05,2252.8,1216533,3852231611,57846
19-04-2018,TCS,EQ,3179.9,3217.2,3165.75,3159.1,3191.15,3191.15,3190.56,3259.05,2252.8,2410476,7690774761,108523
20-04-2018,TCS,EQ,3250,3422.35,3240,3191.15,3414,3402.45,3351.07,3422.35,2252.8,9232831,30939850872,287034
23-04-2018,TCS,EQ,3424,3557.9,3389.55,3402.45,3395.9,3408.65,3478.05,3557.9,2268,7592955,26408656912,296796
24-04-2018,TCS,EQ,3410,3443.15,3342.5,3408.65,3380,3385.65,3385.7,3557.9,2268,4157168,14074937538,191406
25-04-2018,TCS,EQ,3385,3483,3365.05,3385.65,3466,3470.25,3445.24,3557.9,2268,4098287,14119584532,186272
26-04-2018,TCS,EQ,3467,3560,3467,3470.25,3523.95,3539.25,3528.84,3560,2268,6067517,21411274499,155107
27-04-2018,TCS,EQ,3525,3544,3420,3539.25,3458,3451.95,3475.49,3560,2268,2250665,7822168278,143297
30-04-2018,TCS,EQ,3451.95,3549,3437.6,3451.95,3529,3532.1,3523.56,3560,2268.5,1729279,6093220317,109746
