Date,Company_name,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades
02-04-2018,TataMotors,EQ,335,340.8,332.7,326.85,340.4,339.15,336.42,488.25,324.3,9874486,3321929388,87501
03-04-2018,TataMotors,EQ,338.4,344.5,337.15,339.15,342.45,343.1,342.11,488.25,324.3,6989584,2391198986,81593
04-04-2018,TataMotors,EQ,346.8,363.7,346.25,343.1,354.8,355.6,358.29,488.25,324.3,27157199,9730031286,243264
05-04-2018,TataMotors,EQ,362.6,372.35,359.8,355.6,362,362.2,366.9,488.25,324.3,28886070,10598314945,169067
06-04-2018,TataMotors,EQ,362,368.35,356.45,362.2,363.4,364.1,363.14,488.25,324.3,13297051,4828723402,109844
09-04-2018,TataMotors,EQ,361.9,368.6,357,364.1,358.25,358.3,361.3,488.25,324.3,9555113,3452254847,87454
10-04-2018,TataMotors,EQ,360.5,362.35,351.5,358.3,353.45,353.25,355.17,488.25,324.3,8201215,2912843630,85954
11-04-2018,TataMotors,EQ,355,357.15,350.5,353.25,355.3,355.8,354.01,488.25,324.3,5622957,1990601953,53355
12-04-2018,TataMotors,EQ,358,364.4,357,355.8,358.55,358.4,360.01,488.25,324.3,13145938,4732716743,89462
13-04-2018,TataMotors,EQ,357.9,361,354.4,358.4,356.1,357.05,357.29,488.25,324.3,5935628,2120770159,61727
16-04-2018,TataMotors,EQ,350.8,352.8,337.55,357.05,340,339.15,342.36,488.25,324.3,19157051,6558671675,213724
17-04-2018,TataMotors,EQ,342.3,344.2,332.6,339.15,336.7,336.45,337.47,488.25,324.3,14241074,4805990322,149758
18-04-2018,TataMotors,EQ,338.2,339.75,333.4,336.45,335.3,334.8,336.81,488.25,324.3,6699271,2256371368,64651
19-04-2018,TataMotors,EQ,336.5,337,332.5,334.8,335,334.25,334.57,488.25,324.3,7087115,2371129886,78546
20-04-2018,TataMotors,EQ,335.95,343.25,334.6,334.25,336.1,336,338.84,488.25,324.3,11908652,4035086525,110315
23-04-2018,TataMotors,EQ,335.95,339.5,333,336,333.65,334.05,336,488.25,324.3,8056732,2707028957,83673
24-04-2018,TataMotors,EQ,334.8,335,330.6,334.05,331.85,331.55,332.74,488.25,324.3,9210931,3064855395,103937
25-04-2018,TataMotors,EQ,330.8,334,327.75,331.55,328.45,328.6,330.35,488.25,324.3,6306039,2083229494,71066
26-04-2018,TataMotors,EQ,329.9,335.95,326,328.6,331.3,330.25,331.15,488.25,324.3,16647689,5512814536,131634
27-04-2018,TataMotors,EQ,333,337.65,331.05,330.25,336.65,336.9,334.51,488.25,324.3,8804236,2945138109,105006
30-04-2018,TataMotors,EQ,338.5,342.75,337.25,336.9,340.75,340.4,340.3,488.25,324.3,5937740,2020599582,64783
02-05-2018,TataMotors,EQ,349.2,351.65,335,340.4,335.75,336.05,342.87,488.25,324.3,16022148,5493449826,143225
03-05-2018,TataMotors,EQ,335.5,335.9,329.15,336.05,333.25,333.5,332,488.25,324.3,6870513,2280991176,105823
04-05-2018,TataMotors,EQ,333.75,337.3,329.5,333.5,334.5,334.4,333.16,488.25,324.3,6660062,2218898653,77016
07-05-2018,TataMotors,EQ,337.85,337.85,333.7,334.4,335.3,335.15,335.37,488.25,324.3,3888627,1304136922,92157
08-05-2018,TataMotors,EQ,336.3,336.6,330.25,335.15,331.25,332.15,332.16,488.25,324.3,8114997,2695475429,156582
09-05-2018,TataMotors,EQ,331,347.25,331,332.15,341.45,341.95,341.7,488.25,324.3,19019847,6499118350,164649
10-05-2018,TataMotors,EQ,343.75,343.75,332.75,341.95,333.5,333.6,336.7,488.25,324.3,11158000,3756879889,124964
11-05-2018,TataMotors,EQ,334,334,330,333.6,330.7,330.8,331.68,488.25,324.3,7365579,2443008110,75917
14-05-2018,TataMotors,EQ,333,333,323,330.8,323.5,323.6,325.7,488.25,323,8312976,2707509904,98756
